"p0","p1","p2","p3","p4","p5"
 4.66765373283022811e-01, 3.62637851941706089e+01, 2.31135763494035029e-01, 4.83576550698233909e-01, 4.99489345600312191e+01, 2.01497097207827200e-02
 4.66765373283022811e-01, 3.62637851941706089e+01, 2.31135763494035029e-01, 4.83576550698233909e-01, 4.99489345600312191e+01, 2.01497097207827200e-02
 4.66765373283022811e-01, 3.62637851941706089e+01, 2.31135763494035029e-01, 4.83576550698233909e-01, 4.99489345600312191e+01, 2.01497097207827200e-02
 4.66765373283022811e-01, 3.62637851941706089e+01, 2.31135763494035029e-01, 4.83576550698233909e-01, 4.99489345600312191e+01, 2.01497097207827200e-02
 4.66765373283022811e-01, 3.62637851941706089e+01, 2.31135763494035029e-01, 4.83576550698233909e-01, 4.99489345600312191e+01, 2.01497097207827200e-02
 4.66765373283022811e-01, 3.62637851941706089e+01, 2.31135763494035029e-01, 4.83576550698233909e-01, 4.99489345600312191e+01, 2.01497097207827200e-02
 4.66765373283022811e-01, 3.62637851941706089e+01, 2.31135763494035029e-01, 4.83576550698233909e-01, 4.99489345600312191e+01, 2.01497097207827200e-02
 4.66765373283022811e-01, 3.62637851941706089e+01, 2.31135763494035029e-01, 4.83576550698233909e-01, 4.99489345600312191e+01, 2.01497097207827200e-02
 4.66765373283022811e-01, 3.62637851941706089e+01, 2.31135763494035029e-01, 4.83576550698233909e-01, 4.99489345600312191e+01, 2.01497097207827200e-02
 4.66765373283022811e-01, 3.62637851941706089e+01, 2.31135763494035029e-01, 4.83576550698233909e-01, 4.99489345600312191e+01, 2.01497097207827200e-02
 4.66765373283022811e-01, 3.62637851941706089e+01, 2.31135763494035029e-01, 4.83576550698233909e-01, 4.99489345600312191e+01, 2.01497097207827200e-02
 4.66765373283022811e-01, 3.62637851941706089e+01, 2.31135763494035029e-01, 4.83576550698233909e-01, 4.99489345600312191e+01, 2.01497097207827200e-02
 4.66765373283022811e-01, 3.62637851941706089e+01, 2.31135763494035029e-01, 4.83576550698233909e-01, 4.99489345600312191e+01, 2.01497097207827200e-02
 4.66765373283022811e-01, 3.62637851941706089e+01, 2.31135763494035029e-01, 4.83576550698233909e-01, 4.99489345600312191e+01, 2.01497097207827200e-02
 4.66765373283022811e-01, 3.62637851941706089e+01, 2.31135763494035029e-01, 4.83576550698233909e-01, 4.99489345600312191e+01, 2.01497097207827200e-02
 4.66765373283022811e-01, 3.62637851941706089e+01, 2.31135763494035029e-01, 4.83576550698233909e-01, 4.99489345600312191e+01, 2.01497097207827200e-02
 4.66765373283022811e-01, 3.62637851941706089e+01, 2.31135763494035029e-01, 4.83576550698233909e-01, 4.99489345600312191e+01, 2.01497097207827200e-02
 4.66765373283022811e-01, 3.62637851941706089e+01, 2.31135763494035029e-01, 4.83576550698233909e-01, 4.99489345600312191e+01, 2.01497097207827200e-02
 4.66765373283022811e-01, 3.62637851941706089e+01, 2.31135763494035029e-01, 4.83576550698233909e-01, 4.99489345600312191e+01, 2.01497097207827200e-02
 4.66765373283022811e-01, 3.62637851941706089e+01, 2.31135763494035029e-01, 4.83576550698233909e-01, 4.99489345600312191e+01, 2.01497097207827200e-02
