"p0","p1","p2","p3","p4"
 3.26298272608055351e+00, 8.07058073374748915e+02, 2.91644362208891894e-01, 3.13918640585583439e+01, 1.21970882601658091e-02
 3.26298272608055351e+00, 8.07058073374748915e+02, 2.91644362208891894e-01, 3.13918640585583439e+01, 1.21970882601658091e-02
 3.26298272608055351e+00, 8.07058073374748915e+02, 2.91644362208891894e-01, 3.13918640585583439e+01, 1.21970882601658091e-02
 3.26298272608055351e+00, 8.07058073374748915e+02, 2.91644362208891894e-01, 3.13918640585583439e+01, 1.21970882601658091e-02
 3.28478597069050782e+00, 8.10093820327703838e+02, 2.87039190211145268e-01, 3.11179251425935206e+01, 1.30186050413694122e-02
 3.28478597069050782e+00, 8.10093820327703838e+02, 2.87039190211145268e-01, 3.11179251425935206e+01, 1.30186050413694122e-02
 3.28478597069050782e+00, 8.10093820327703838e+02, 2.87039190211145268e-01, 3.11179251425935206e+01, 1.30186050413694122e-02
 3.28478597069050782e+00, 8.10093820327703838e+02, 2.87039190211145268e-01, 3.11179251425935206e+01, 1.30186050413694122e-02
 3.28478597069050782e+00, 8.10093820327703838e+02, 2.87039190211145268e-01, 3.11179251425935206e+01, 1.30186050413694122e-02
 3.28478597069050782e+00, 8.10093820327703838e+02, 2.87039190211145268e-01, 3.11179251425935206e+01, 1.30186050413694122e-02
 3.28478597069050782e+00, 8.10093820327703838e+02, 2.87039190211145268e-01, 3.11179251425935206e+01, 1.30186050413694122e-02
 3.28478597069050782e+00, 8.10093820327703838e+02, 2.87039190211145268e-01, 3.11179251425935206e+01, 1.30186050413694122e-02
 3.27088296104855614e+00, 8.10904241519104062e+02, 2.83747894102531373e-01, 3.09944356909714251e+01, 1.31326887375502813e-02
 3.27088296104855614e+00, 8.10904241519104062e+02, 2.83747894102531373e-01, 3.09944356909714251e+01, 1.31326887375502813e-02
 3.27088296104855614e+00, 8.10904241519104062e+02, 2.83747894102531373e-01, 3.09944356909714251e+01, 1.31326887375502813e-02
 3.27088296104855614e+00, 8.10904241519104062e+02, 2.83747894102531373e-01, 3.09944356909714251e+01, 1.31326887375502813e-02
 3.27088296104855614e+00, 8.10904241519104062e+02, 2.83747894102531373e-01, 3.09944356909714251e+01, 1.31326887375502813e-02
 3.27088296104855614e+00, 8.10904241519104062e+02, 2.83747894102531373e-01, 3.09944356909714251e+01, 1.31326887375502813e-02
 3.27088296104855614e+00, 8.10904241519104062e+02, 2.83747894102531373e-01, 3.09944356909714251e+01, 1.31326887375502813e-02
 3.27088296104855614e+00, 8.10904241519104062e+02, 2.83747894102531373e-01, 3.09944356909714251e+01, 1.31326887375502813e-02
 3.27088296104855614e+00, 8.10904241519104062e+02, 2.83747894102531373e-01, 3.09944356909714251e+01, 1.31326887375502813e-02
 3.27088296104855614e+00, 8.10904241519104062e+02, 2.83747894102531373e-01, 3.09944356909714251e+01, 1.31326887375502813e-02
 3.27088296104855614e+00, 8.10904241519104062e+02, 2.83747894102531373e-01, 3.09944356909714251e+01, 1.31326887375502813e-02
 3.27088296104855614e+00, 8.10904241519104062e+02, 2.83747894102531373e-01, 3.09944356909714251e+01, 1.31326887375502813e-02
 3.27088296104855614e+00, 8.10904241519104062e+02, 2.83747894102531373e-01, 3.09944356909714251e+01, 1.31326887375502813e-02
 3.27088296104855614e+00, 8.10904241519104062e+02, 2.83747894102531373e-01, 3.09944356909714251e+01, 1.31326887375502813e-02
 3.21407452146384198e+00, 8.09130062551189440e+02, 2.77085016135774131e-01, 3.09985643506729076e+01, 1.26582674848611573e-02
 3.21407452146384198e+00, 8.09130062551189440e+02, 2.77085016135774131e-01, 3.09985643506729076e+01, 1.26582674848611573e-02
 3.21407452146384198e+00, 8.09130062551189440e+02, 2.77085016135774131e-01, 3.09985643506729076e+01, 1.26582674848611573e-02
 3.21407452146384198e+00, 8.09130062551189440e+02, 2.77085016135774131e-01, 3.09985643506729076e+01, 1.26582674848611573e-02
 3.21407452146384198e+00, 8.09130062551189440e+02, 2.77085016135774131e-01, 3.09985643506729076e+01, 1.26582674848611573e-02
 3.21407452146384198e+00, 8.09130062551189440e+02, 2.77085016135774131e-01, 3.09985643506729076e+01, 1.26582674848611573e-02
 3.21407452146384198e+00, 8.09130062551189440e+02, 2.77085016135774131e-01, 3.09985643506729076e+01, 1.26582674848611573e-02
 3.21407452146384198e+00, 8.09130062551189440e+02, 2.77085016135774131e-01, 3.09985643506729076e+01, 1.26582674848611573e-02
 3.21407452146384198e+00, 8.09130062551189440e+02, 2.77085016135774131e-01, 3.09985643506729076e+01, 1.26582674848611573e-02
 3.21407452146384198e+00, 8.09130062551189440e+02, 2.77085016135774131e-01, 3.09985643506729076e+01, 1.26582674848611573e-02
 3.21407452146384198e+00, 8.09130062551189440e+02, 2.77085016135774131e-01, 3.09985643506729076e+01, 1.26582674848611573e-02
 3.21407452146384198e+00, 8.09130062551189440e+02, 2.77085016135774131e-01, 3.09985643506729076e+01, 1.26582674848611573e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
 3.27561239761012635e+00, 8.07119682614466001e+02, 2.79423491792147538e-01, 3.08391034368302677e+01, 1.23132885731231396e-02
